Loc,DateOfMonth,Weekday,Hour,NoOfBookings
1,1,1,0,0
1,1,1,1,9
1,1,1,2,13
1,1,1,3,17
1,1,1,4,21
1,1,1,5,30
1,1,1,6,54
1,1,1,7,99
1,1,1,8,162
1,1,1,9,212
1,1,1,10,247
1,1,1,11,289
1,1,1,12,344
1,1,1,13,393
1,1,1,14,446
1,1,1,15,497
1,1,1,16,558
1,1,1,17,634
1,1,1,18,717
1,1,1,19,784
1,1,1,20,856
1,1,1,21,906
1,1,1,22,962
1,1,1,23,996
1,2,2,0,1011
1,2,2,1,1020
1,2,2,2,1024
1,2,2,3,1027
1,2,2,4,1032
1,2,2,5,1042
1,2,2,6,1064
1,2,2,7,1129
1,2,2,8,1206
1,2,2,9,1276
1,2,2,10,1325
1,2,2,11,1384
1,2,2,12,1436
1,2,2,13,1484
1,2,2,14,1538
1,2,2,15,1624
1,2,2,16,1726
1,2,2,17,1836
1,2,2,18,1964
1,2,2,19,2061
1,2,2,20,2134
1,2,2,21,2212
1,2,2,22,2283
1,2,2,23,2327
1,3,3,0,2347
1,3,3,1,2364
1,3,3,2,2371
1,3,3,3,2375
1,3,3,4,2380
1,3,3,5,2387
1,3,3,6,2404
1,3,3,7,2462
1,3,3,8,2536
1,3,3,9,2595
1,3,3,10,2634
1,3,3,11,2678
1,3,3,12,2729
1,3,3,13,2784
1,3,3,14,2849
1,3,3,15,2909
1,3,3,16,3004
1,3,3,17,3119
1,3,3,18,3240
1,3,3,19,3347
1,3,3,20,3447
1,3,3,21,3567
1,3,3,22,3679
1,3,3,23,3787
1,4,4,0,3829
1,4,4,1,3843
1,4,4,2,3855
1,4,4,3,3858
1,4,4,4,3865
1,4,4,5,3879
1,4,4,6,3900
1,4,4,7,3967
1,4,4,8,4055
1,4,4,9,4123
1,4,4,10,4184
1,4,4,11,4245
1,4,4,12,4303
1,4,4,13,4361
1,4,4,14,4440
1,4,4,15,4534
1,4,4,16,4655
1,4,4,17,4779
1,4,4,18,4940
1,4,4,19,5112
1,4,4,20,5251
1,4,4,21,5343
1,4,4,22,5455
1,4,4,23,5565
1,5,5,0,5656
1,5,5,1,5701
1,5,5,2,5732
1,5,5,3,5749
1,5,5,4,5759
1,5,5,5,5766
1,5,5,6,5778
1,5,5,7,5790
1,5,5,8,5803
1,5,5,9,5824
1,5,5,10,5862
1,5,5,11,5907
1,5,5,12,5959
1,5,5,13,6005
1,5,5,14,6060
1,5,5,15,6110
1,5,5,16,6191
1,5,5,17,6293
1,5,5,18,6397
1,5,5,19,6493
1,5,5,20,6592
1,5,5,21,6667
1,5,5,22,6759
1,5,5,23,6880
1,6,6,0,6965
1,6,6,1,7029
1,6,6,2,7076
1,6,6,3,7100
1,6,6,4,7111
1,6,6,5,7121
1,6,6,6,7130
1,6,6,7,7141
1,6,6,8,7158
1,6,6,9,7183
1,6,6,10,7204
1,6,6,11,7235
1,6,6,12,7281
1,6,6,13,7334
1,6,6,14,7389
1,6,6,15,7445
1,6,6,16,7517
1,6,6,17,7563
1,6,6,18,7612
1,6,6,19,7655
1,6,6,20,7702
1,6,6,21,7730
1,6,6,22,7755
1,6,6,23,7774
1,7,0,0,7785
1,7,0,1,7789
1,7,0,2,7790
1,7,0,3,7793
1,7,0,4,7800
1,7,0,5,7815
1,7,0,6,7838
1,7,0,7,7885
1,7,0,8,7947
1,7,0,9,7989
1,7,0,10,8026
1,7,0,11,8073
1,7,0,12,8126
1,7,0,13,8159
1,7,0,14,8204
1,7,0,15,8257
1,7,0,16,8336
1,7,0,17,8472
